text_length,total_filters,title_chars,file_size,object_count,stream_count,endstream_count,metadata_size,valid_pdf_header,entropy_of_streams,label
8018,8,8,20362,120,18,9,254,1,6.010191768,0
11568,7,35,28848,36,16,8,242,1,6.240051218,0
1377,2,12,76563,21,4,2,138,1,5.830408172,0
30607,11,8,67982,46,26,13,278,1,6.317049461,0
1,2,37,3997,10,6,3,156,1,5.442596922,1
9944,5,62,14469,25,12,6,399,1,6.300824102,0
5283,8,7,14961,20,18,9,126,1,5.370393399,1
32594,20,6,51064,77,40,20,197,1,6.985474058,0
0,0,0,16544,0,0,0,0,0,0.0,1
0,0,0,5857,0,0,0,0,0,0.0,1
4464,62,33,106518,1766,152,76,308,1,5.659002988,0
0,0,0,2119,0,0,0,0,0,0.0,1
0,0,0,9574,0,0,0,0,0,0.0,1
12809,12,28,27888,48,26,13,233,1,6.473076837,0
3036,23,44,27691,62,54,27,137,1,5.275007745,1
1802,24,13,201864,128,50,25,361,1,5.922187752,0
15545,4,7,11496,19,8,4,219,1,6.404281745,1
1036,3,9,27145,12,6,3,198,1,5.380950551,0
0,0,0,8129,0,0,0,0,0,0.0,1
7331,90,6,95372,799,220,110,294,1,4.419302393,0
0,0,0,13054,0,0,0,0,0,0.0,1
1113,3,11,15659,12,6,3,160,1,5.139097263,0
15495,13,11,236185,61,28,14,172,1,6.553564071,0
43074,26,41,185201,200,54,27,305,1,6.802497626,0
0,0,0,15751,0,0,0,0,0,0.0,1
828,1,8,7630,10,2,1,137,1,6.791384588,1
1,4,37,6120,18,10,5,185,1,4.381654593,1
34795,24,23,94093,283,52,26,231,1,6.682551816,0
31984,21,26,50002,64,44,22,233,1,6.699884451,0
1450,2,12,91476,21,4,2,135,1,5.894644375,0
1315,15,17,77710,30,34,17,173,1,5.663474511,0
0,0,0,1912,0,0,0,0,0,0.0,1
0,0,0,16263,0,0,0,0,0,0.0,1
7224,7,56,30996,31,16,8,1119,1,6.31166916,0
1560,30,9,210444,141,62,31,400,1,5.898126429,0
0,0,0,9816,0,0,0,0,0,0.0,1
1629,12,12,77398,27,28,14,173,1,5.983643034,0
0,0,0,15400,0,0,0,0,0,0.0,1
0,0,0,8297,0,0,0,0,0,0.0,1
36383,29,25,150860,196,60,30,330,1,6.638346985,0
0,0,0,9726,0,0,0,0,0,0.0,1
1,1,44,3494,15,4,2,208,1,5.269972396,1
5283,8,7,15093,20,18,9,126,1,5.36958926,1
0,0,0,13482,0,0,0,0,0,0.0,1
57088,40,32,213534,234,82,41,276,1,6.700398175,0
0,0,0,15755,0,0,0,0,0,0.0,1
3275,13,12,50636,85,28,14,235,1,6.621365482,0
0,0,0,8095,0,0,0,0,0,0.0,1
643,3,11,18202,12,6,3,198,1,5.496227512,0
21000,21,56,89656,59,44,22,263,1,6.750356186,0
0,0,0,2419,0,0,0,0,0,0.0,1
1,1,0,7683,5,2,1,0,1,6.997800503,1
16401,53,14,162735,945,112,56,321,1,6.239730718,0
0,0,0,9725,0,0,0,0,0,0.0,1
0,0,0,15789,0,0,0,0,0,0.0,1
1268,3,12,28672,12,6,3,160,1,5.260828686,0
0,0,0,9882,0,0,0,0,0,0.0,1
1493,18,13,85873,79,38,19,394,1,6.037194263,0
0,0,0,8515,0,0,0,0,0,0.0,1
