,text_length,total_filters,title_chars,file_size,object_count,stream_count,endstream_count,metadata_size,valid_pdf_header,entropy_of_streams,label
text_length,1.0,0.39383465839069826,0.15716872754693692,0.30105945569743403,0.013379293141118147,0.3204590922590671,0.3204546773843951,0.18984410417125516,0.18412736482619688,0.22622700837873438,-0.21632744006951543
total_filters,0.39383465839069826,1.0,0.196932980161702,0.2386520861994394,0.045354933008532106,0.9001645520944737,0.9001407413954705,0.31686743035719733,0.2478353679075877,0.23550265755505925,-0.28762352561439314
title_chars,0.15716872754693692,0.196932980161702,1.0,0.08056692913932761,0.017692886642018634,0.18637380171907597,0.18634385473025938,0.6908887393344159,0.6073106606014284,0.6106317390740433,-0.49037032082602217
file_size,0.30105945569743403,0.2386520861994394,0.08056692913932761,1.0,0.0221372603653409,0.22026164602119058,0.22019228834518512,0.11538319479273598,0.09249943073271702,0.09533740459416754,-0.12087721228674152
object_count,0.013379293141118147,0.045354933008532106,0.017692886642018634,0.0221372603653409,1.0,0.04774155780296514,0.04770503325674896,0.05562816321931412,0.0424403255456756,0.041873718610748845,-0.0018874179834099415
stream_count,0.3204590922590671,0.9001645520944737,0.18637380171907597,0.22026164602119058,0.04774155780296514,1.0,0.9999994496675487,0.3072049418078594,0.22823241863864294,0.19463405159169037,-0.2680773362367774
endstream_count,0.3204546773843951,0.9001407413954705,0.18634385473025938,0.22019228834518512,0.04770503325674896,0.9999994496675487,1.0,0.3071956806417171,0.22822976635200334,0.194629482544052,-0.2680865799213642
metadata_size,0.18984410417125516,0.31686743035719733,0.6908887393344159,0.11538319479273598,0.05562816321931412,0.3072049418078594,0.3071956806417171,1.0,0.7994952568527103,0.7954330811438957,-0.7627773772758633
valid_pdf_header,0.18412736482619688,0.2478353679075877,0.6073106606014284,0.09249943073271702,0.0424403255456756,0.22823241863864294,0.22822976635200334,0.7994952568527103,1.0,0.9745389709772745,-0.7661161494399871
entropy_of_streams,0.22622700837873438,0.23550265755505925,0.6106317390740433,0.09533740459416754,0.041873718610748845,0.19463405159169037,0.194629482544052,0.7954330811438957,0.9745389709772745,1.0,-0.7935875274633085
label,-0.21632744006951543,-0.28762352561439314,-0.49037032082602217,-0.12087721228674152,-0.0018874179834099415,-0.2680773362367774,-0.2680865799213642,-0.7627773772758633,-0.7661161494399871,-0.7935875274633085,1.0
