,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis
text_length,19296.0,8761.265132669983,37921.5563102685,0.0,0.0,1195.0,6292.5,3415343.0,1195.0,43.82040353716444,3501.1502551238304
total_filters,19296.0,12.871424129353233,41.39052974399598,0.0,0.0,3.0,14.0,3967.0,3.0,53.982213638373395,4661.644128836163
title_chars,19296.0,14.792547678275291,19.41197575502014,0.0,0.0,8.0,25.0,289.0,8.0,2.2644475803914426,10.689371394676812
file_size,19296.0,71308.36981757877,418699.2165151545,24.0,9620.0,17462.0,77876.5,36777668.0,17462.0,54.60709093177882,3942.4327246495513
object_count,19296.0,270.25404228855723,5074.942888089677,0.0,0.0,20.0,70.0,200006.0,20.0,38.49243756202754,1501.8604977681382
stream_count,19296.0,33.24030887230514,116.07144342444398,0.0,0.0,6.0,32.0,7952.0,6.0,34.82043689682801,2057.204745746309
endstream_count,19296.0,16.619040215588722,58.03250537370441,0.0,0.0,3.0,16.0,3976.0,3.0,34.82524567133509,2057.6548889021774
metadata_size,19296.0,150.3391376451078,149.86279579423578,0.0,0.0,137.0,251.0,2560.0,137.0,0.9865472765749619,4.90972661677289
valid_pdf_header,19296.0,0.6115775290215588,0.48740411007769524,0.0,0.0,1.0,1.0,1.0,1.0,-0.4578914816194597,-1.7905209864842475
entropy_of_streams,19296.0,3.597989566581312,2.942377263278796,0.0,0.0,5.3173518995,6.131907204,7.177038168,5.3173518995,-0.33055740207102674,-1.7593271991453725
label,19296.0,0.5181902985074627,0.4996819514609877,0.0,0.0,1.0,1.0,1.0,1.0,-0.07281505383771,-1.9949047474134596
